,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
20,3450.52579202652,22.70329070741781,6.664529037475586,2.395836080934789,,,,,{'feature_selection': 'chi2'},0.8095238095238095,0.9294460641399416,0.8065518890483023,0.9010631644777986,0.9757304252077772,0.8844630704795259,0.0668054008342064,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,BOSSEnsemble,e52c627f3a,chi2,
21,3703.4220042705538,11.848273546392909,14.85684003829956,4.339193319345913,,,,,{'feature_selection': 'none'},0.8322174883343477,0.9047619047619048,0.7928169391584026,0.8990837527422892,0.9251154450386404,0.870799106007117,0.049947006305979,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,BOSSEnsemble,e52c627f3a,none,
9,11617.13967628479,111.70961844759177,44.645266723632815,10.9009282358664,,,,,{'feature_selection': 'none'},0.7316912972085386,0.848048503220917,0.7190605239385727,0.7632349165596918,0.7410211739480032,0.7606112829751447,0.0460407525187087,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,BOSSEnsemble,e52c627f3a,none,
8,11502.5812292099,82.32752972419259,8.811418771743774,7.000114315134321,,,,,{'feature_selection': 'chi2'},0.7316912972085386,0.797398004294556,0.6892254087376039,0.8281883957359497,0.6537210756722951,0.7400448363297887,0.0650582207427809,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,BOSSEnsemble,e52c627f3a,chi2,
33,3607.514986371994,48.35009354780159,8.85629768371582,4.021083470071174,,,,,{'feature_selection': 'none'},0.7534013605442178,0.7752715121136172,0.7632349165596918,0.6787216148023549,0.6787216148023549,0.7298702037644474,0.0423333308511056,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,BOSSEnsemble,e52c627f3a,none,
32,3329.598289203644,53.87399662924165,2.357489681243897,0.7563768302448485,,,,,{'feature_selection': 'chi2'},0.6666666666666666,0.7182085648904871,0.7281876754366828,0.6855738324825108,0.5092915214866434,0.6615856521925981,0.0792927934831253,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,BOSSEnsemble,e52c627f3a,chi2,
29,14033.536044359207,281.19804576179723,32.17854614257813,0.9189020509257962,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.5993279706750839,0.6655044390637611,0.6042526579111945,0.703189493433396,0.5016921461080639,0.6147933414382999,0.0685968792250926,1,0.5295927176561868,0.5167986485059657,0.6395452334853504,0.6258801439524332,0.6386469062425582,0.5900927299684989,0.0549837630662371,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
31,13215.378355360031,323.7452340602201,33.35278286933899,1.333915085554161,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.5773128473357306,0.6254525201893623,0.5404540628590543,0.5092915214866434,0.6385409800043946,0.578210386375037,0.0490871779883027,2,0.5853901483075667,0.5197811447811448,0.5592907160525951,0.5596913971676178,0.5349123767798466,0.5518131566177542,0.0226145134001638,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
10,1135.8984752655028,39.54374416276839,452.30219888687134,28.01574865980386,,,,,{'shape_descriptor_function': 'raw'},0.7253318481388656,0.2482993197278911,0.6580059905862216,0.6787216148023549,0.5149541993157489,0.5650625945142165,0.1732587111497612,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,ShapeDTW,e8df20c70e,,raw
22,537.4775110244751,3.973473750129031,217.41604914665223,7.30438476735035,,,,,{'shape_descriptor_function': 'raw'},0.5365576951783849,0.5285714285714286,0.6467931345980127,0.5963350109691573,0.4558474046278924,0.5528209347889752,0.0647775365834377,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,ShapeDTW,e8df20c70e,,raw
7,59698.94900903702,2019.4292010690529,143.8171847343445,15.267821075803589,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.5404761904761904,0.5979166666666667,0.4812624692201231,0.5891424075531079,0.5527770646127513,0.5523149597057679,0.0415321634272165,1,0.5289485664318329,0.5701144044240278,0.5998330131255274,0.5234431702714472,0.593280500337299,0.5631239309180268,0.0317753376653966,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
6,0.582132625579834,0.0185882548811232,0.004463243484497,0.0005177440992567,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.5085539936798518,0.5149541993157489,0.6855738324825108,0.5163797226207556,0.5397702207682327,0.0745687811198092,2,0.4619782732990281,0.5114081996434937,0.4783014491321403,0.5138991266197767,0.5147465751469519,0.4960667247682782,0.0218170564435682,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
5,61292.077875852585,2510.4864388816386,132.51875710487366,11.03637578378672,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.5404761904761904,0.556390977443609,0.4812624692201231,0.5891424075531079,0.5141562422649988,0.5362856573916058,0.0366957293154449,3,0.5289485664318329,0.5329939393939395,0.5998330131255274,0.4993857927165962,0.5435576345357201,0.5409437892407232,0.0328905014704897,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
17,12013.914035463333,191.51650544630823,30.67885766029358,0.6275531753862278,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.5085881860075409,0.6364323507180649,0.5006775067750677,0.5891424075531079,0.441980783444198,0.5353642468995959,0.0689165448887609,1,0.5434424566954686,0.5378265851201652,0.5178091113063882,0.5476838228489996,0.5670405326171246,0.5427605017176294,0.0158816842336054,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
18,0.4665659427642822,0.0305344239695796,0.0043324470520019,0.0003971630076153,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.5441455096627511,0.5365576951783849,0.5016921461080639,0.5647417503586801,0.5016921461080639,0.5297658494831887,0.024708229719137,2,0.5573910533910534,0.4991934046345812,0.5079672172175691,0.49738815401466,0.5944669111227519,0.5312813480761231,0.0384605395303741,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
30,0.4824313640594482,0.0132004022518817,0.0043655395507812,0.000326877440218,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.5754621848739496,0.5504924808060697,0.525731151911389,0.4977827050997783,0.5245715756866968,0.0363327820802032,3,0.4619782732990281,0.4933490751672569,0.548557524025173,0.5107249637370119,0.5455377741970924,0.5120295220851124,0.0325971973025719,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
19,11150.58260550499,387.1464756907876,31.4811026096344,0.7369111086006794,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.4619758351101635,0.4619758351101635,0.5535846267553585,0.6284724205555873,0.441980783444198,0.5095979001950941,0.0709560150347182,3,0.4980964063422833,0.4789010989010989,0.5561069644431383,0.5360439001183799,0.5670405326171246,0.5272377804844051,0.0337072427711517,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
11,1169.1565392017365,29.31466491592725,335.0584528446197,11.53486001080082,,,,,{'shape_descriptor_function': 'paa'},0.5445903254789438,0.3968253968253967,0.5609756097560976,0.450281425891182,0.5899028838312699,0.5085151283565781,0.0728604816476404,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,ShapeDTW,e8df20c70e,,paa
23,566.5198670387268,11.726941829931912,157.34280071258544,4.952704758616009,,,,,{'shape_descriptor_function': 'paa'},0.4888888888888888,0.556390977443609,0.5853658536585366,0.5583623693379791,0.2764227642276423,0.4930861707113311,0.112911176976601,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,ShapeDTW,e8df20c70e,,paa
34,452.75731053352354,3.4284957480462523,170.62591643333434,6.048653201576768,,,,,{'shape_descriptor_function': 'raw'},0.6010569840357075,0.5281385281385281,0.4083327155460004,0.4717545239968529,0.3712004687614443,0.4760966440957066,0.0823862317039029,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,ShapeDTW,e8df20c70e,,raw
0,0.9559517860412596,0.0311203728799144,0.0106899261474609,0.0031999436451619,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4785327879667503,0.4785327879667503,0.4813362351740584,0.4813362351740584,0.4813362351740584,0.4802148562911351,0.001373403035747,concat,6400,TimeSeriesKMeans,cb762cccb4,,
1,48619.692456197736,667.9253479915251,127.2308831691742,7.052913874922381,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4648439280018227,0.4648439280018227,0.4677216327998561,0.4677216327998561,0.4677216327998561,0.4665705508806427,0.0014097816771081,concat,6400,TimeSeriesKMeans,cb762cccb4,,
2,0.4465418815612793,0.0181375546464805,0.0082477092742919,0.0026850612293384,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4785327879667503,0.4785327879667503,0.4813362351740584,0.4648707188303776,0.4813362351740584,0.4769217530223989,0.0061545689957258,concat,6400,TimeSeriesKMeans,cb762cccb4,,
3,36709.4255179882,1181.732539650554,166.2179008960724,14.260681618015456,mean,forgy,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4648439280018227,0.4648439280018227,0.4677216327998561,0.4677216327998561,0.4677216327998561,0.4665705508806427,0.0014097816771081,concat,6400,TimeSeriesKMeans,cb762cccb4,,
4,0.4429850578308105,0.0701703928352573,0.0046686172485351,0.0005226175845816,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,4,0.4619782732990281,0.4785327879667503,0.4648707188303776,0.4648707188303776,0.4648707188303776,0.4670246435513822,0.005862105691986,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
12,0.5074905395507813,0.0285629675546655,0.0037863731384277,0.0004921852398597,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4619782732990281,0.4785327879667503,0.4648707188303776,0.4648707188303776,0.4813362351740584,0.4703177468201184,0.0079722146621597,difference,6400,TimeSeriesKMeans,cb762cccb4,,
13,9472.717586278915,385.4302704671756,34.71784610748291,1.111557742489511,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4648439280018227,0.4648439280018227,0.4677216327998561,0.4677216327998561,0.4677216327998561,0.4665705508806427,0.0014097816771081,difference,6400,TimeSeriesKMeans,cb762cccb4,,
14,0.2495078563690185,0.0221988719664787,0.0039974212646484,0.0004003143962596,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4785327879667503,0.4785327879667503,0.4648707188303776,0.4648707188303776,0.4813362351740584,0.4736286497536628,0.0072237209851003,difference,6400,TimeSeriesKMeans,cb762cccb4,,
15,6492.840755796433,331.1370603812181,39.97406716346741,2.472746589976588,mean,forgy,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4648439280018227,0.4648439280018227,0.4677216327998561,0.4677216327998561,0.4677216327998561,0.4665705508806427,0.0014097816771081,difference,6400,TimeSeriesKMeans,cb762cccb4,,
16,0.3596540927886963,0.0693437097234815,0.0040889263153076,0.0004608582512667,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,4,0.4785327879667503,0.4619782732990281,0.4648707188303776,0.4813362351740584,0.4813362351740584,0.4736108500888545,0.0084296543118903,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
24,0.635582160949707,0.066314590622187,0.0042457580566406,0.0005043827621741,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4785327879667503,0.4785327879667503,0.4813362351740584,0.4648707188303776,0.4648707188303776,0.4736286497536628,0.0072237209851003,ai,6400,TimeSeriesKMeans,cb762cccb4,,
25,10393.960285043717,98.81066045501032,37.97608184814453,1.138923767922816,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4648439280018227,0.4648439280018227,0.4677216327998561,0.4677216327998561,0.4677216327998561,0.4665705508806427,0.0014097816771081,ai,6400,TimeSeriesKMeans,cb762cccb4,,
26,0.3504254817962646,0.0362208628628459,0.006240177154541,0.0012783330503338,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4619782732990281,0.4785327879667503,0.4813362351740584,0.4648707188303776,0.4813362351740584,0.4736108500888545,0.0084296543118903,ai,6400,TimeSeriesKMeans,cb762cccb4,,
27,7730.880253648758,345.1116574976412,45.67694764137268,7.270148416586784,mean,forgy,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,1,0.4648439280018227,0.4648439280018227,0.4677216327998561,0.4677216327998561,0.4677216327998561,0.4665705508806427,0.0014097816771081,ai,6400,TimeSeriesKMeans,cb762cccb4,,
28,0.2418751716613769,0.0230383842119477,0.0035153865814208,0.0002843112755475,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4619364375461936,0.466517604824635,0.0056107611292579,4,0.4785327879667503,0.4619782732990281,0.4648707188303776,0.4648707188303776,0.4648707188303776,0.4670246435513822,0.005862105691986,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
35,460.61007766723634,2.1469951072712967,122.14205708503724,3.1387096021666885,,,,,{'shape_descriptor_function': 'paa'},0.2532051282051282,0.4318207282913166,0.4266585186117151,0.4976092432538425,0.233492549629465,0.3685572335982935,0.1054334172369997,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,ShapeDTW,e8df20c70e,,paa
