,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
6,4085.8211121082304,35.1848021362766,14.95626654624939,3.7463382904167504,,,,,{'feature_selection': 'none'},0.878041498731154,0.9056582633053222,0.878041498731154,0.8990837527422892,0.8212203334154553,0.8764090693850749,0.0297347703518908,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,BOSSEnsemble,e52c627f3a,none,
10,3618.942934560776,80.97159509311761,6.148556041717529,3.91311260129761,,,,,{'feature_selection': 'none'},0.7169652945924133,0.825211176088369,0.6723921240050272,0.902439024390244,0.6450743210453475,0.7524163880242802,0.0969421010625801,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,BOSSEnsemble,e52c627f3a,none,
2,11792.009553718566,58.96186429772859,6.1425882339477536,4.33230401831078,,,,,{'feature_selection': 'chi2'},0.7842796278584472,0.6527509079184062,0.8584873949579832,0.6580059905862216,0.6892254087376039,0.7285498660117324,0.0803217294785637,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,BOSSEnsemble,e52c627f3a,chi2,
1,58693.03094286918,3700.046115390259,126.7817120552063,4.864493992325333,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.5459050334317619,0.5404761904761904,0.594796008589112,0.5713143314102931,0.6996782716537557,0.5904339671122226,0.0579612134640371,1,0.5660249329580118,0.6112268331937092,0.5848693303593844,0.5556374123470987,0.5684223275710933,0.5772361672858595,0.0194088243226745,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
3,1163.263455724716,19.552963178431835,477.888135099411,23.11922895057789,,,,,{'shape_descriptor_function': 'raw'},0.614043583535109,0.6134038800705468,0.4733893557422969,0.6679806192001315,0.4812624692201231,0.5700159815536415,0.0782711958135066,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,ShapeDTW,e8df20c70e,,raw
5,0.4036902904510498,0.0160618996451719,0.0037312984466552,0.0003287788367597,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.5499284228722685,0.614043583535109,0.4784358826912018,0.6863963229297947,0.5145180023228804,0.568664442870251,0.0739515118589671,1,0.513106289325922,0.5313483900759833,0.5060240963855421,0.5332459605812802,0.5676716919883118,0.5302792856714079,0.0214072987795865,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
9,14369.224524831772,457.9187652797364,35.44891333580017,2.284448621412457,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.5445903254789438,0.6857142857142857,0.5061224489795918,0.5365853658536586,0.5305059848451794,0.5607036821743319,0.0638122188684927,1,0.595462948904588,0.5163561052515228,0.5235575308676703,0.6156127828127231,0.5222947769619133,0.5546568289596834,0.0421003133550879,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
7,525.7192400932312,5.471369010526465,136.0536376476288,2.6629713590885933,,,,,{'shape_descriptor_function': 'paa'},0.5723905723905724,0.6155388471177945,0.556390977443609,0.4812624692201231,0.4619364375461936,0.5375038607436585,0.0575096417905596,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,ShapeDTW,e8df20c70e,,paa
11,473.3009336471558,8.068244954012126,122.3458695411682,2.6386741606084128,,,,,{'shape_descriptor_function': 'paa'},0.5404761904761904,0.4733893557422969,0.5441455096627511,0.4717545239968529,0.4645360246705916,0.4988603209097365,0.0356210065139216,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,ShapeDTW,e8df20c70e,,paa
0,1.0068476676940918,0.0809471794999491,0.016047716140747,0.0140183912199587,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4688081884638556,0.0056107611292579,1,0.4813362351740584,0.4648707188303776,0.4648707188303776,0.4677336776261603,0.4841111029299708,0.4725844906781889,0.0083903606743668,concat,6400,TimeSeriesKMeans,cb762cccb4,,
4,0.5022630214691162,0.0215371520456839,0.0038684844970703,0.0001756522470831,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4688081884638556,0.0056107611292579,1,0.4813362351740584,0.4813362351740584,0.4648707188303776,0.4841111029299708,0.4677336776261603,0.4758775939469251,0.0079354756774613,difference,6400,TimeSeriesKMeans,cb762cccb4,,
8,0.587057638168335,0.0618300198851102,0.0054667472839355,0.0018769657987495,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.4733893557422969,0.4733893557422969,0.4733893557422969,0.4619364375461936,0.4619364375461936,0.4688081884638556,0.0056107611292579,1,0.4813362351740584,0.4813362351740584,0.4648707188303776,0.4677336776261603,0.4677336776261603,0.472602108886163,0.0072076010168051,ai,6400,TimeSeriesKMeans,cb762cccb4,,
