,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
17,41.29691400527954,1.971663167310884,0.7272552490234375,0.0924771486087702,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8851336898395722,0.9201680672268908,0.8818181818181818,0.9593406593406592,0.9593406593406592,0.9211602515131926,0.0339475569292153,1,0.9201680672268908,0.9112004193604754,0.9088553845389794,0.901651536133764,0.901651536133764,0.9087053886787748,0.0068870073008767,difference,600,TimeSeriesKMedoids,c42fbe82af,,
4,0.4284389972686767,0.0034353239182445,0.1923001289367675,0.0065198968987253,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8851336898395722,0.8818181818181818,0.9166666666666666,0.9593406593406592,0.9593406593406592,0.9204599714011478,0.03399687933105,1,0.8627791563275434,0.8630770626114824,0.8509055768324416,0.8725210016760678,0.910543346099465,0.8719652287094002,0.0204717971097784,concat,600,TimeSeriesKMeans,cb762cccb4,,
33,0.2126631736755371,0.0073698497708152,0.1939034938812255,0.0018771989161919,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.8868092691622103,0.9420383538030596,0.8848739495798319,0.9388528138528138,0.9388528138528138,0.918285440050146,0.0265228643673533,1,0.8966351972887922,0.881239084474676,0.911525974025974,0.8982867378204653,0.8982867378204653,0.8971947462860748,0.0096194097373519,ai,900,TimeSeriesKMedoids,c42fbe82af,,
32,0.2394843101501464,0.0154840941516877,0.0030651569366455,0.0001233760652814,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.7162022703818368,1.0,0.8848739495798319,1.0,0.9388528138528138,0.9079858067628964,0.1050724306467825,1,0.9551939924906132,0.8680926916221035,0.911525974025974,0.8839573240738148,0.8839573240738148,0.900545461257264,0.030693805479454,ai,900,TimeSeriesKMeans,cb762cccb4,,
21,0.1132577896118164,0.0804106536569983,0.0770183086395263,0.0900475580985795,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.8868092691622103,0.8848739495798319,0.9420383538030596,1.0,0.8165584415584415,0.9060560028207084,0.0615615688496542,1,0.9400067408156388,0.9109293133560068,0.8964614859483444,0.8692258057691699,0.9269857196609989,0.9087218131100316,0.0246066668176106,difference,900,TimeSeriesKMedoids,c42fbe82af,,
16,0.2526669502258301,0.0093632690805577,0.0031137943267822,5.8270086045142815e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8851336898395722,0.9201680672268908,0.9593406593406592,0.8403361344537815,0.9201680672268908,0.905029323617559,0.0399728139409111,1,0.8993558776167472,0.8914671792183586,0.910543346099465,0.901651536133764,0.8914671792183586,0.8988970236573387,0.0071251651088197,difference,600,TimeSeriesKMeans,cb762cccb4,,
20,0.2370198249816894,0.0092656421306585,0.0030164241790771,7.410169107067347e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8868092691622103,0.9420383538030596,0.939781446175308,0.9388528138528138,0.8165584415584415,0.9048080649103668,0.0487447010634614,1,0.8961560527825589,0.8956461163357715,0.9109293133560068,0.9113769099168192,0.8970554417932349,0.9022327668368784,0.007298772323549,difference,900,TimeSeriesKMeans,cb762cccb4,,
18,70.68177967071533,0.8674663213047964,0.6793388843536377,0.1290135414296772,,,,,{'feature_selection': 'none'},0.84,0.8055028462998101,0.9593406593406592,0.9201680672268908,0.9593406593406592,0.8968704464416039,0.0631349668055661,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,600,BOSSEnsemble,e52c627f3a,none,
13,22.4765417098999,2.033188847551887,0.2978578090667724,0.0429790717861174,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8346372688477951,0.9321981424148608,0.8659469185784975,0.8994601889338731,0.9146435111347392,0.8893772059819531,0.0349832085536293,1,0.8625121819041626,0.870581446681892,0.887027970191584,0.8786596716872567,0.8911941466498591,0.8779950834229509,0.0104969732796915,difference,300,TimeSeriesKMedoids,c42fbe82af,,
28,0.2484312057495117,0.0177747253767695,0.003108787536621,7.271827634962265e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8851336898395722,0.8818181818181818,0.8055028462998101,0.9201680672268908,0.9201680672268908,0.882558170482269,0.0418896467741824,1,0.8627791563275434,0.8352466097146382,0.8731570275601125,0.8731570275601125,0.8826374822384133,0.8653954606801639,0.0163313772308767,ai,600,TimeSeriesKMeans,cb762cccb4,,
