,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
5,16.613529920578003,0.3649152653951685,0.0528234958648681,0.0019448551089017,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8823529411764706,0.8466197289726702,0.9246187363834422,0.9230936819172112,0.7959012664895018,0.8745172709878591,0.0487646824549114,1,0.8943982883658896,0.9185831350779804,0.8329070758738278,0.8995059486919862,0.8646565236080263,0.882010194323542,0.0300313583413732,difference,300,TimeSeriesKMedoids,c42fbe82af,,
8,0.2321725368499755,0.0037433904851155,0.0022558212280273,3.373824238244919e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8523644752018454,0.8883403361344537,0.8883403361344537,0.8681701929783772,0.851059615765498,0.8696549912429257,0.016402675314902,1,0.8788667226341457,0.8698096885813149,0.8698096885813149,0.870072138235401,0.8655613812476559,0.8708239238559663,0.004358979121183,ai,300,TimeSeriesKMeans,cb762cccb4,,
6,78.74711813926697,1.314116159344476,1.1870251655578614,0.2918557019086845,,,,,{'feature_selection': 'none'},0.8492374727668845,0.905017273796623,0.8849647967295027,0.8793760419147417,0.8077342047930283,0.8652659580001562,0.0338647923037214,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,BOSSEnsemble,e52c627f3a,none,
2,162.42754340171814,3.3301579039173337,4.969453859329224,1.361847331735225,,,,,{'feature_selection': 'chi2'},0.8670241833152721,0.8643718228031955,0.8315471577090627,0.8340874811463046,0.9230936819172112,0.8640248653782093,0.0330129969707442,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,BOSSEnsemble,e52c627f3a,chi2,
4,0.3920593738555908,0.0035395244385414,0.0025057792663574,4.837559384404885e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8523644752018454,0.8154555940023069,0.8523644752018454,0.886344537815126,0.8681701929783772,0.8549398550399003,0.0233819074264021,1,0.8644207372920784,0.8737710312719349,0.8689280250008139,0.8560039135271335,0.8515110151261726,0.8629269444436266,0.0081742327263132,difference,300,TimeSeriesKMeans,cb762cccb4,,
10,80.30354971885681,1.86607253753418,1.04534649848938,0.3060848624348551,,,,,{'feature_selection': 'none'},0.8869281045751632,0.8431372549019608,0.8115468409586056,0.8461873638344226,0.8484593837535014,0.8472517896047307,0.0239523443909957,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,BOSSEnsemble,e52c627f3a,none,
7,19.08534598350525,0.2455567321558711,7.633571290969849,0.0536306358685631,,,,,{'shape_descriptor_function': 'raw'},0.8466197289726702,0.8523644752018454,0.9233098644863352,0.8484593837535014,0.7611266728913787,0.8463760250611463,0.0514325364029248,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,ShapeDTW,e8df20c70e,,raw
9,16.634824132919313,0.3216050069935903,0.0535257339477539,0.0017616374634839,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8689811226626044,0.8492374727668845,0.7981248216542335,0.7772832817337462,0.886344537815126,0.835994247326519,0.0416647083234106,1,0.858752011442875,0.8644207372920784,0.8241211977748845,0.8245286174171161,0.8544870782235154,0.8452619284300938,0.0173835920546348,ai,300,TimeSeriesKMedoids,c42fbe82af,,
3,39.73484854698181,1.2954812721872817,10.803690004348756,0.042016284749014,,,,,{'shape_descriptor_function': 'paa'},0.7386389850057671,0.7696856520385932,0.8745989304812833,0.757685790365529,0.751131221719457,0.7783481159221259,0.0491604794309685,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,ShapeDTW,e8df20c70e,,paa
11,19.272512102127077,0.2987782215962386,5.827255344390869,0.0923656471983121,,,,,{'shape_descriptor_function': 'paa'},0.8157485216308745,0.7236227824463118,0.7048563611491108,0.7254578220941651,0.6832205639548059,0.7305812102550536,0.045239227292922,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,ShapeDTW,e8df20c70e,,paa
1,75.30533514022827,1.9333842276670343,0.6076449394226074,0.0022281014049036,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.8432491576211968,0.6237967914438503,0.6329979360165118,0.7212914271737801,0.7572724612232953,0.715721554695727,0.0816261600308364,1,0.8230599889928453,0.562854090452912,0.6581712523719165,0.804235163905075,0.7953964194373401,0.7287433830320178,0.1015253085882603,concat,300,TimeSeriesKMedoids,c42fbe82af,,
0,0.3999603271484375,0.004252778112809,0.0025600910186767,4.467009887239201e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8466197289726702,0.8466197289726702,0.7047289504036908,0.5529411764705883,0.5732481026598674,0.7048315374958973,0.1269587926094652,1,0.8635322829558912,0.8349449178964872,0.5971743579586717,0.5527878815669904,0.5696829431203495,0.6836244766996781,0.1362638656479246,concat,300,TimeSeriesKMeans,cb762cccb4,,
