,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
8,0.2463746070861816,0.023064517703064,0.0022762298583984,7.653012079297012e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8708427722512231,0.9077448373223022,0.8693005560433129,0.9242296918767507,0.8327748563042681,0.8809785427595715,0.0320929930981813,1,0.8609263883263176,0.8742792190896161,0.8794353537109231,0.865934372954,0.892962126581722,0.8747074921325158,0.0111593388156794,ai,300,TimeSeriesKMeans,cb762cccb4,,
5,17.301104259490966,0.8595383570928369,0.0524506568908691,0.0018304829897079,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8363484035125825,0.8898513251454427,0.8681701929783772,0.8500576701268743,0.9417877684848148,0.8772430720496184,0.0369289128221683,1,0.8559341996297661,0.882395410066821,0.8839404053031336,0.8569382120179393,0.8698572514253486,0.8698130956886019,0.0119689919970841,difference,300,TimeSeriesKMedoids,c42fbe82af,,
2,188.05272922515869,2.789616344357841,2.2817482948303223,0.5569450877015851,,,,,{'feature_selection': 'none'},0.9416139416139416,0.9026899026899026,0.8099323383728836,0.9046333662951778,0.8077342047930283,0.8733207507529869,0.0544548854201076,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,BOSSEnsemble,e52c627f3a,none,
9,16.347219133377074,0.4570805429373047,0.0540851116180419,0.001577185416743,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.9615384615384616,0.831741391617662,0.8327748563042681,0.8875432525951558,0.8125720876585928,0.8652340099428282,0.0542602615193363,1,0.841151084450494,0.877499567548867,0.8464239207476881,0.8278086384140745,0.8516127430288282,0.8488991908379904,0.0163481890719082,ai,300,TimeSeriesKMedoids,c42fbe82af,,
4,0.3824907302856445,0.0073295389903318,0.0025675773620605,5.872911194499741e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.9257478632478632,0.9077448373223022,0.7928388746803069,0.795613713260772,0.8693005560433129,0.8582491689109114,0.0553709941793871,1,0.8463412677761974,0.8463412677761974,0.8749331598172928,0.8743468442481084,0.8605613408128736,0.860504776086134,0.0126569683807293,difference,300,TimeSeriesKMeans,cb762cccb4,,
6,80.14959874153138,1.0890319776700197,1.0808589935302737,0.3305593905768815,,,,,{'feature_selection': 'none'},0.831741391617662,0.8143696581196581,0.884640522875817,0.8340874811463046,0.8823529411764706,0.8494383989871824,0.0286398601540894,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,BOSSEnsemble,e52c627f3a,none,
10,78.66234774589539,1.6482843776915437,0.8264893054962158,0.2243962972212529,,,,,{'feature_selection': 'none'},0.7859177859177859,0.8514957264957265,0.9046333662951778,0.803921568627451,0.886344537815126,0.8464625970302535,0.0457715047602103,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,BOSSEnsemble,e52c627f3a,none,
3,39.030400133132936,0.2894436006175415,10.875355672836305,0.0921657699423724,,,,,{'shape_descriptor_function': 'paa'},0.7185450208706021,0.8486252703120173,0.7926093514328808,0.8521695965122428,0.8194165471066475,0.8062731572468781,0.0488996090305528,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,ShapeDTW,e8df20c70e,,paa
7,19.79529190063477,0.1733670752318528,5.571804714202881,0.1548835348000427,,,,,{'shape_descriptor_function': 'paa'},0.7557692307692307,0.8461538461538461,0.751131221719457,0.8461873638344226,0.803921568627451,0.8006326462208815,0.0415243206433061,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,ShapeDTW,e8df20c70e,,paa
11,19.7076105594635,0.2649440740609662,5.835233068466186,0.1339587075454267,,,,,{'shape_descriptor_function': 'paa'},0.7040247678018575,0.66160668599693,0.6681749622926093,0.7291248206599713,0.784536541889483,0.7094935557281701,0.044826604672588,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,ShapeDTW,e8df20c70e,,paa
0,0.3960382461547851,0.0023263980729063,0.0025557041168212,4.829411823035e-05,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.5458471068227166,0.5608391608391609,0.8125720876585928,0.6590336134453781,0.8571836007130124,0.687095113895772,0.1275567146678878,1,0.5516436641175317,0.6723088503737834,0.82241749161807,0.6408250012075545,0.8521429977604216,0.7078676010154722,0.1132273120223859,concat,300,TimeSeriesKMeans,cb762cccb4,,
1,75.01820278167725,0.930184981304488,0.6090708255767823,0.0015617484383827,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.6716358576823693,0.5463510848126233,0.7926093514328808,0.8458000484144274,0.5703509626160279,0.6853494609916657,0.1183066703331284,1,0.6979913916786226,0.5833486154410416,0.8005490655876002,0.7878043315907394,0.5765823120589952,0.6892551432713998,0.0960062094134116,concat,300,TimeSeriesKMedoids,c42fbe82af,,
