,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
8,0.2923352241516113,0.0591912597752945,0.0025861263275146,0.0003008575321797,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8720178372352285,0.906415087616146,0.8319578577699737,0.9058358521274124,0.8693005560433129,0.8771054381584147,0.0276028843459521,1,0.8650097197553569,0.8336833948079527,0.883797322821713,0.8699902606582957,0.8745011086474501,0.8653963613381535,0.01702032582478,ai,300,TimeSeriesKMeans,cb762cccb4,,
5,26.548638439178468,0.8120758606926074,0.083840274810791,0.0073201482368699,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8886217948717948,0.8163002574767282,0.8875432525951558,0.9242296918767507,0.795613713260772,0.8624617420162404,0.0484319146259565,1,0.8783807454782763,0.833111665991581,0.8787214131134117,0.8697076652791187,0.8654809673146865,0.8650804914354149,0.0167722891746949,difference,300,TimeSeriesKMedoids,c42fbe82af,,
4,20.290864372253417,0.932052019417313,0.084264850616455,0.0118070628676425,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.9439137972058872,0.7962489343563512,0.7587924058512293,0.9058358521274124,0.8693005560433129,0.8548183091168386,0.0684132690733479,1,0.8280364500569533,0.8559341996297661,0.8562037926467337,0.8421310307993591,0.8334494773519164,0.8431509900969457,0.0114664300241616,difference,300,TimeSeriesKMeans,cb762cccb4,,
7,26.605711698532104,0.551214281720875,10.162856960296631,0.5226357639230507,,,,,{'shape_descriptor_function': 'raw'},0.8541980894922071,0.8327985739750446,0.8138245197068726,0.886344537815126,0.8823529411764706,0.8539037324331442,0.0279772085252636,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,ShapeDTW,e8df20c70e,,raw
2,185.62051334381104,3.553364368141708,4.068146991729736,0.3300123619229951,,,,,{'feature_selection': 'chi2'},0.8720178372352285,0.8211459129106188,0.9215686274509804,0.8214379084967319,0.8319578577699737,0.8536256287727066,0.0387685387416084,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,BOSSEnsemble,e52c627f3a,chi2,
6,115.6822706222534,1.82810998829207,1.6672555923461914,0.5600450036961944,,,,,{'feature_selection': 'none'},0.7797026502908856,0.8115468409586056,0.8793760419147417,0.8823529411764706,0.90079883805374,0.8507554624788887,0.0467069497774328,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,BOSSEnsemble,e52c627f3a,none,
9,18.534849643707275,0.5296942936278968,0.0646811008453369,0.0015917963138066,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8164188752424046,0.8689811226626044,0.8138245197068726,0.7772296015180264,0.9215686274509804,0.8396045493161777,0.0503466238943585,1,0.8238933553134733,0.8537031897126794,0.8291839703185276,0.8559086802989243,0.8409809702492629,0.8407340331785734,0.0127713922293325,ai,300,TimeSeriesKMedoids,c42fbe82af,,
10,82.91571679115296,1.3408209399067283,0.9242280483245848,0.1684946504020941,,,,,{'feature_selection': 'none'},0.8339407071801438,0.8211459129106188,0.8138245197068726,0.8755656108597285,0.8461873638344226,0.8381328228983573,0.0217398794542531,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,BOSSEnsemble,e52c627f3a,none,
3,50.91928248405456,2.0979985837632724,12.797055196762084,0.2347422878873674,,,,,{'shape_descriptor_function': 'paa'},0.8598636806231743,0.8153711677296124,0.7291248206599713,0.8017429193899781,0.8276292335115865,0.8067463643828645,0.0433175928512015,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,ShapeDTW,e8df20c70e,,paa
11,19.996120166778564,0.1354748968209642,5.7781189441680905,0.0748176275862599,,,,,{'shape_descriptor_function': 'paa'},0.7040247678018575,0.6556657546739626,0.8276292335115865,0.8214379084967319,0.757685790365529,0.7532886909699334,0.0665542461680007,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,ShapeDTW,e8df20c70e,,paa
0,0.6993916511535645,0.1217055312838449,0.0050755977630615,0.0005252432097599,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.8287533156498673,0.8643718228031955,0.5904139433551198,0.6288054695562435,0.6103569632981397,0.7045403029325132,0.1171375940286443,1,0.8108084841501613,0.8507214050875085,0.5315420623292353,0.5307600174216027,0.595054323056793,0.6637772584090602,0.1389020306877338,concat,300,TimeSeriesKMeans,cb762cccb4,,
1,85.57195916175843,2.802950312163463,0.6656635761260986,0.0130243783740979,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.6185115697310819,0.7048563611491108,0.6862745098039216,0.641700866393069,0.6658444022770399,0.6634375418708447,0.0307690256762408,1,0.6290111406417824,0.6944327740672397,0.6049603991571196,0.7090772565459669,0.5379435789635346,0.6350850298751286,0.0622540783241161,concat,300,TimeSeriesKMedoids,c42fbe82af,,
