Model type,Method,Parameters,Iteration
TimeSeriesKMeans,ai,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",10
TimeSeriesKMedoids,difference,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",9
BOSSEnsemble,concat,{'feature_selection': 'chi2'},7
TimeSeriesKMeans,difference,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",7
BOSSEnsemble,difference,{'feature_selection': 'none'},6
BOSSEnsemble,ai,{'feature_selection': 'none'},4
ShapeDTW,difference,{'shape_descriptor_function': 'raw'},4
BOSSEnsemble,concat,{'feature_selection': 'none'},3
ShapeDTW,difference,{'shape_descriptor_function': 'paa'},3
TimeSeriesKMedoids,ai,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",2
TimeSeriesKMeans,concat,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",1
TimeSeriesKMeans,difference,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",1
TimeSeriesKMeans,difference,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",1
TimeSeriesKMedoids,ai,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",1
TimeSeriesKMedoids,ai,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",1
