model_type	window_size	method	params	mean_test_score	std_test_score	0
TimeSeriesKMeans	300.0	ai	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8771	0.0276	
TimeSeriesKMedoids	300.0	difference	{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}	0.8625	0.0484	
TimeSeriesKMeans	300.0	difference	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}	0.8548	0.0684	
ShapeDTW	300.0	difference	{'shape_descriptor_function': 'raw'}	0.8539	0.028	
BOSSEnsemble	300.0	concat	{'feature_selection': 'chi2'}	0.8536	0.0388	
BOSSEnsemble	300.0	difference	{'feature_selection': 'none'}	0.8508	0.0467	
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
TimeSeriesKMedoids	300.0	difference	{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}	0.8859	0.0403	
TimeSeriesKMeans	300.0	ai	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8725	0.0547	
TimeSeriesKMeans	300.0	difference	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8607	0.0179	
BOSSEnsemble	300.0	concat	{'feature_selection': 'chi2'}	0.8558	0.0333	
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
TimeSeriesKMedoids	300.0	difference	{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}	0.8915	0.0332	
BOSSEnsemble	300.0	concat	{'feature_selection': 'chi2'}	0.883	0.0211	
TimeSeriesKMeans	300.0	ai	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8816	0.0373	
TimeSeriesKMeans	300.0	difference	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8733	0.0213	
ShapeDTW	300.0	difference	{'shape_descriptor_function': 'raw'}	0.8706	0.0557	
BOSSEnsemble	300.0	difference	{'feature_selection': 'none'}	0.8569	0.0306	
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
TimeSeriesKMeans	300.0	ai	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.904	0.0362	
TimeSeriesKMeans	300.0	concat	{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}	0.8862	0.0733	
TimeSeriesKMedoids	300.0	difference	{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}	0.8851	0.0233	
TimeSeriesKMeans	300.0	difference	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8847	0.058	
BOSSEnsemble	300.0	ai	{'feature_selection': 'none'}	0.8781	0.0388	
BOSSEnsemble	300.0	concat	{'feature_selection': 'none'}	0.8755	0.0386	
BOSSEnsemble	300.0	difference	{'feature_selection': 'none'}	0.8648	0.0308	
